#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
27;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;6f ;"o";1;;COM1;;
28;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
29;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;6e ;"n";1;;COM1;;
30;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
31;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
32;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
33;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
34;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
35;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;55 ;"U";1;;COM1;;
36;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
37;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;6c ;"l";1;;COM1;;
38;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
39;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;74 ;"t";1;;COM1;;
40;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
41;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;69 ;"i";1;;COM1;;
42;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
43;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;6d ;"m";1;;COM1;;
44;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
45;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;61 ;"a";1;;COM1;;
46;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
47;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;74 ;"t";1;;COM1;;
48;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
49;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;65 ;"e";1;;COM1;;
50;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
51;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;42 ;"B";1;;COM1;;
52;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
53;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;6f ;"o";1;;COM1;;
54;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
55;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;78 ;"x";1;;COM1;;
56;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
57;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;20 ;" ";1;;COM1;;
58;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
